make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
Cessna,140,Non-Fatal,Substantial,Airplane,1.0,01-01-1982,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2482N,Accident
Cessna,401B,Non-Fatal,Substantial,Airplane,2.0,01-01-1982,Reciprocating,Business,IMC,0.0,0.0,0.0,N7967Q,Accident
Bellanca,17-30A,Non-Fatal,Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,0.0,0.0,1.0,N14779,Accident
Cessna,R172K,Fatal(1),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N758SK,Accident
Navion,A,Fatal(1),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N4876K,Accident
Beech,19,Fatal(2),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,2.0,0.0,0.0,N9779L,Accident
Cessna,180,Fatal(3),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,3.0,0.0,0.0,N7641A,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N25084,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N68812,Accident
Cessna,150L,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1549Q,Accident
Piper,PA-24-180,Incident,Minor,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5018P,Incident
Grumman,AA-5B,Fatal(2),Destroyed,Airplane,1.0,03-01-1983,Reciprocating,Personal,IMC,2.0,1.0,0.0,N28912,Accident
Cessna,414A,Fatal(8),Destroyed,Airplane,2.0,03-01-1983,Reciprocating,Business,IMC,8.0,0.0,0.0,N2620L,Accident
Beechcraft,BE-58,Fatal(1),Destroyed,Airplane,2.0,03-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N10VS,Accident
Maule,M-5-235C,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N7125D,Accident
Cessna,210L,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,1.0,N94252,Accident
Bellanca,7GCBC,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,2.0,N8630V,Accident
Cessna,182,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,2.0,N71054,Accident
Air Tractor,AT-301,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Ferry,VMC,0.0,0.0,0.0,N23069,Accident
Piper,PA-28-161,Fatal(4),Destroyed,Airplane,1.0,04-01-1983,Reciprocating,Personal,VMC,4.0,0.0,0.0,N8265A,Accident
Piper,PA-34-200T,Fatal(2),Destroyed,Airplane,2.0,04-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N1956H,Accident
Cessna,T337G,Fatal(2),Destroyed,Airplane,2.0,04-01-1983,Reciprocating,Personal,IMC,2.0,2.0,0.0,N2CU,Accident
Piper,PA-28R-200,Non-Fatal,Substantial,Airplane,1.0,04-01-1983,Reciprocating,Personal,VMC,0.0,0.0,2.0,N32335,Accident
Cessna,206,Fatal(1),Destroyed,Airplane,1.0,04-01-1983,Reciprocating,Business,VMC,1.0,0.0,1.0,N5151U,Accident
Navion,A,Fatal(3),Destroyed,Airplane,1.0,05-01-1983,Reciprocating,Business,IMC,3.0,0.0,0.0,N4520K,Accident
Piper,PA-22,Fatal(1),Destroyed,Airplane,1.0,05-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N4696Z,Accident
Piper,PA-31,Fatal(2),Destroyed,Airplane,2.0,05-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N546BA,Accident
Rockwell,114,Incident,Minor,Airplane,1.0,05-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N5782N,Incident
Piper,PA-24-250,Non-Fatal,Substantial,Airplane,1.0,05-01-1983,Reciprocating,Business,VMC,0.0,1.0,0.0,N5304P,Accident
Piper,PA-28R-200,Non-Fatal,Substantial,Airplane,1.0,05-01-1983,Reciprocating,Ferry,VMC,0.0,0.0,0.0,N2139T,Accident
Cessna,TR182,Non-Fatal,Substantial,Airplane,1.0,05-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N738XP,Accident
Cessna,A185F,Non-Fatal,Substantial,Airplane,1.0,05-01-1983,Reciprocating,Unknown,VMC,0.0,2.0,0.0,N3343S,Accident
Cessna,340,Non-Fatal,Substantial,Airplane,2.0,06-01-1983,Reciprocating,Executive/corporate,VMC,0.0,0.0,0.0,N2672A,Accident
Beech,35,Non-Fatal,Substantial,Airplane,1.0,06-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N8070Q,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,06-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N4900L,Accident
Mooney,M-20J,Non-Fatal,Substantial,Airplane,1.0,06-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N201NH,Accident
Boeing,A75,Non-Fatal,Substantial,Airplane,1.0,06-01-1983,Reciprocating,Unknown,IMC,0.0,1.0,0.0,N59737,Accident
Cessna,210,Fatal(2),Destroyed,Airplane,1.0,07-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N9763X,Accident
Beech,V35,Non-Fatal,Substantial,Airplane,1.0,07-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N117P,Accident
Curtis,C46,Non-Fatal,Substantial,Airplane,2.0,07-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N1698M,Accident
Cessna,172M,Fatal(1),Destroyed,Airplane,1.0,08-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N80264,Accident
Piper,PA-28-140,Fatal(1),Destroyed,Airplane,1.0,08-01-1983,Reciprocating,Personal,VMC,1.0,1.0,0.0,N207CB,Accident
Cessna,TU206G,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N6106U,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N46681,Accident
Piper,PA-24-250,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N7618P,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N6265P,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N737LH,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,08-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N25225,Accident
Cessna,P210N,Non-Fatal,Substantial,Airplane,1.0,09-01-1983,Reciprocating,Personal,VMC,0.0,1.0,0.0,N731NZ,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,09-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N7355A,Accident
Piper,PA-34,Non-Fatal,Substantial,Airplane,2.0,09-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N55489,Accident
Cessna,305 (L-19),Non-Fatal,Substantial,Airplane,1.0,09-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N5639V,Accident
Cessna,182A,Non-Fatal,Substantial,Airplane,1.0,09-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N2195G,Accident
Piper,PA-23-250,Non-Fatal,Destroyed,Airplane,2.0,10-01-1983,Reciprocating,Unknown,UNK,0.0,2.0,0.0,N567V,Accident
Cessna,172N,Non-Fatal,Destroyed,Airplane,1.0,10-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2753J,Accident
Piper,23-250,Non-Fatal,Destroyed,Airplane,2.0,10-01-1983,Reciprocating,Personal,IMC,0.0,0.0,0.0,N6995Y,Accident
Mooney,M20G,Fatal(1),Destroyed,Airplane,1.0,10-01-1983,Reciprocating,Personal,VMC,1.0,1.0,0.0,N3688N,Accident
Cessna,TU206F,Non-Fatal,Substantial,Airplane,1.0,10-01-1983,Reciprocating,Personal,VMC,0.0,0.0,4.0,N2644Q,Accident
Quickie,1,Non-Fatal,Substantial,Airplane,1.0,10-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N234Q,Accident
Cessna,U206,Non-Fatal,Substantial,Airplane,1.0,10-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,3.0,N756YN,Accident
Piper,PA-28-140,Non-Fatal,Destroyed,Airplane,1.0,11-01-1983,Reciprocating,Personal,VMC,0.0,1.0,1.0,N7273J,Accident
Cessna,210N,Fatal(4),Destroyed,Airplane,1.0,11-01-1983,Reciprocating,Personal,IMC,4.0,1.0,1.0,N6558A,Accident
Cessna,180,Non-Fatal,Substantial,Airplane,1.0,11-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2332C,Accident
Cessna,310L,Non-Fatal,Substantial,Airplane,2.0,11-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N424VW,Accident
Embraer,EMB-110P1,Incident,Minor,Airplane,2.0,12-01-1983,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,N615KC,Incident
Cessna,414,Non-Fatal,Destroyed,Airplane,2.0,12-01-1983,Reciprocating,Personal,UNK,0.0,0.0,3.0,N7706,Accident
Beech,P35,Non-Fatal,Substantial,Airplane,1.0,12-01-1983,Reciprocating,Personal,IMC,0.0,1.0,0.0,N8678M,Accident
Grumman,AA5B,Non-Fatal,Destroyed,Airplane,1.0,13-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N28607,Accident
Piper,PA-28R-201T,Non-Fatal,Substantial,Airplane,1.0,13-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N47442,Accident
Beech,A23-24,Non-Fatal,Substantial,Airplane,1.0,13-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2396W,Accident
Piper,PA-31-350,Non-Fatal,Substantial,Airplane,2.0,13-01-1983,Reciprocating,Unknown,IMC,0.0,0.0,0.0,N36PB,Accident
Cessna,T210N,Fatal(3),Destroyed,Airplane,1.0,15-01-1983,Reciprocating,Personal,VMC,3.0,0.0,0.0,N6520Y,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,15-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5559T,Accident
Cessna,140,Non-Fatal,Substantial,Airplane,1.0,15-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N72901,Accident
Swearingen,SA 226-TC,Non-Fatal,Substantial,Airplane,2.0,15-01-1983,Turbo Prop,Unknown,VMC,0.0,1.0,2.0,N341PL,Accident
Beech,C-45H,Non-Fatal,Substantial,Airplane,2.0,15-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N300JR,Accident
De Havilland,DHC-2-MK3,Non-Fatal,Substantial,Airplane,1.0,15-01-1983,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,N1459T,Accident
Cessna,150M,Non-Fatal,Substantial,Airplane,1.0,16-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N704KE,Accident
Cessna,150M,Fatal(1),Destroyed,Airplane,1.0,17-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N63182,Accident
Bede Aircraft,BD-5B,Fatal(1),Destroyed,Airplane,1.0,17-01-1983,Reciprocating,Personal,VMC,1.0,0.0,0.0,N381JH,Accident
Cessna,182P,Non-Fatal,Destroyed,Airplane,1.0,17-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,1.0,N7383S,Accident
Convair,440,Non-Fatal,Destroyed,Airplane,2.0,17-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,2.0,N21DR,Accident
Piper,PA-31,Fatal(1),Destroyed,Airplane,2.0,17-01-1983,Reciprocating,Unknown,VMC,1.0,0.0,0.0,N9181Y,Accident
Piper,PA-31T,Non-Fatal,Destroyed,Airplane,2.0,17-01-1983,Turbo Prop,Personal,VMC,0.0,0.0,3.0,N91TW,Accident
Beech,F50,Fatal(2),Destroyed,Airplane,2.0,17-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N654T,Accident
Cessna,150,Non-Fatal,Destroyed,Airplane,1.0,17-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,1.0,N63516,Accident
Cessna,180E,Non-Fatal,Substantial,Airplane,1.0,17-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2600Y,Accident
Cessna,170B,Non-Fatal,Substantial,Airplane,1.0,17-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3574D,Accident
Beech,C23,Non-Fatal,Destroyed,Airplane,1.0,18-01-1983,Reciprocating,Business,VMC,0.0,2.0,2.0,N2127W,Accident
Cessna,172M,Fatal(1),Destroyed,Airplane,1.0,18-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N5295R,Accident
Piper,PA-28-180,Fatal(3),Destroyed,Airplane,1.0,18-01-1983,Reciprocating,Personal,IMC,3.0,0.0,0.0,N4583J,Accident
Cessna,180K,Non-Fatal,Substantial,Airplane,1.0,18-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N2705K,Accident
Cessna,210L,Fatal(4),Substantial,Airplane,1.0,18-01-1983,Reciprocating,Personal,IMC,4.0,0.0,0.0,N641CH,Accident
Mooney,M20F,Fatal(1),Destroyed,Airplane,1.0,19-01-1983,Reciprocating,Business,VMC,1.0,0.0,0.0,N7761M,Accident
Beech,G35,Fatal(2),Destroyed,Airplane,1.0,19-01-1983,Reciprocating,Personal,IMC,2.0,0.0,0.0,N4438D,Accident
Cessna,177B,Fatal(1),Destroyed,Airplane,1.0,19-01-1983,Reciprocating,Business,UNK,1.0,2.0,0.0,N35147,Accident
Grumman,AA5A,Fatal(3),Destroyed,Airplane,1.0,19-01-1983,Reciprocating,Personal,IMC,3.0,0.0,0.0,N26660,Accident
Swearingen,SA226-T(B),Fatal(3),Destroyed,Airplane,2.0,19-01-1983,Turbo Prop,Executive/corporate,IMC,3.0,0.0,0.0,N336SA,Accident
De Havilland,DHC-6-300,Incident,Minor,Airplane,2.0,19-01-1983,Turbo Prop,Ferry,IMC,0.0,0.0,0.0,N9240N,Incident
Piper,AEROSTAR 601P,Non-Fatal,Substantial,Airplane,2.0,19-01-1983,Reciprocating,Executive/corporate,VMC,0.0,0.0,0.0,N8043J,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N68292,Accident
Cessna,182P,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Aerial Observation,VMC,0.0,0.0,1.0,N52757,Accident
Cessna,177RG,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1969Q,Accident
Beachner,QUICK SILVER,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Personal,VMC,0.0,0.0,1.0,N824CB,Accident
Cessna,182E,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9255X,Accident
Cessna,150H,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6510S,Accident
Cessna,340A,Non-Fatal,Substantial,Airplane,2.0,19-01-1983,Reciprocating,Business,UNK,0.0,0.0,0.0,N4140G,Accident
Piper,PA-38-112,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N26093,Accident
Canadair,CL-44D4,Non-Fatal,Substantial,Airplane,4.0,19-01-1983,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,HCBHS,Accident
Piper,PA-32,Non-Fatal,Substantial,Airplane,1.0,19-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N4246T,Accident
Piper,PA-31-350,Incident,Minor,Airplane,2.0,20-01-1983,Reciprocating,Executive/corporate,VMC,0.0,0.0,0.0,N74HP,Incident
Beech,58,Fatal(2),Destroyed,Airplane,2.0,20-01-1983,Reciprocating,Personal,IMC,2.0,0.0,0.0,N9395Q,Accident
Cessna,182N,Fatal(3),Destroyed,Airplane,1.0,20-01-1983,Reciprocating,Personal,IMC,3.0,0.0,0.0,N92387,Accident
Piper,PA-23-250,Fatal(1),Destroyed,Airplane,2.0,20-01-1983,Reciprocating,Business,IMC,1.0,0.0,0.0,N6242Y,Accident
Cessna,210,Fatal(1),Substantial,Airplane,1.0,20-01-1983,Reciprocating,Personal,VMC,1.0,0.0,0.0,N3318S,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,20-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N5350M,Accident
Cessna,P210N,Fatal(4),Destroyed,Airplane,1.0,21-01-1983,Reciprocating,Personal,IMC,4.0,0.0,0.0,N4947K,Accident
Cessna,402A,Fatal(1),Destroyed,Airplane,2.0,21-01-1983,Reciprocating,Unknown,IMC,1.0,0.0,0.0,N4553Q,Accident
Douglas,DC-3,Non-Fatal,Destroyed,Airplane,2.0,21-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,2.0,N211TA,Accident
Piper,PA-23-250,Non-Fatal,Destroyed,Airplane,2.0,21-01-1983,Reciprocating,Executive/corporate,IMC,0.0,1.0,2.0,N40291,Accident
Piper,PA-28-235,Fatal(1),Destroyed,Airplane,1.0,21-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N41664,Accident
Grumman,AA-1,Fatal(1),Destroyed,Airplane,1.0,21-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N6142L,Accident
Piper,PA-32,Non-Fatal,Destroyed,Airplane,1.0,21-01-1983,Reciprocating,Personal,VMC,0.0,1.0,3.0,N31937,Accident
Cessna,207,Non-Fatal,Destroyed,Airplane,1.0,21-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,1.0,N1729U,Accident
Mooney,M-20,Non-Fatal,Substantial,Airplane,1.0,21-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6029Q,Accident
Air Tractor,301,Non-Fatal,Substantial,Airplane,1.0,21-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N8793S,Accident
Sons Mustang,II,Fatal(2),Destroyed,Airplane,1.0,22-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N13JL,Accident
Cessna,172M,Non-Fatal,Substantial,Airplane,1.0,22-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N13083,Accident
Cessna,172,Fatal(1),Destroyed,Airplane,1.0,23-01-1983,Reciprocating,Personal,IMC,1.0,1.0,0.0,N8172B,Accident
Mooney,M20C,Fatal(2),Destroyed,Airplane,1.0,23-01-1983,Reciprocating,Personal,VMC,2.0,0.0,4.0,N7860V,Accident
Grumman,G-164A,Non-Fatal,Destroyed,Airplane,1.0,23-01-1983,Reciprocating,Aerial Application,VMC,0.0,0.0,0.0,N8584,Accident
Mcdonnell Douglas,DC-10-30,Fatal(2),Destroyed,Airplane,3.0,23-01-1983,Turbo Fan,Unknown,IMC,2.0,4.0,24.0,N113WA,Accident
Beech,A23A,Fatal(1),Destroyed,Airplane,1.0,23-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N6940Q,Accident
Piper,PA-32-300,Non-Fatal,Substantial,Airplane,1.0,23-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2872D,Accident
Cessna,150M,Non-Fatal,Substantial,Airplane,1.0,23-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N45453,Accident
Piper,PA-34-200T,Non-Fatal,Substantial,Airplane,2.0,23-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N32555,Accident
Piper,PA-28-235,Fatal(2),Substantial,Airplane,1.0,23-01-1983,Reciprocating,Personal,VMC,2.0,0.0,4.0,N32380,Accident
Cessna,150H,Non-Fatal,Substantial,Airplane,1.0,23-01-1983,Reciprocating,Personal,VMC,0.0,1.0,0.0,N7219S,Accident
Piper,PA-38-112,Non-Fatal,Substantial,Airplane,1.0,23-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,1.0,N2536K,Accident
Robertson,C-402B,Fatal(7),Destroyed,Airplane,2.0,24-01-1983,Reciprocating,Personal,VMC,7.0,0.0,0.0,N4244Z,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,24-01-1983,Reciprocating,Personal,UNK,0.0,0.0,2.0,N80420,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,24-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N13533,Accident
Cessna,172RG,Non-Fatal,Substantial,Airplane,1.0,24-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N6492V,Accident
Cessna,177,Non-Fatal,Substantial,Airplane,1.0,24-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N34975,Accident
Cessna,182M,Fatal(2),Destroyed,Airplane,1.0,25-01-1983,Reciprocating,Personal,UNK,2.0,0.0,0.0,N71734,Accident
Cessna,152II,Non-Fatal,Substantial,Airplane,1.0,25-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,1.0,N4825B,Accident
Cessna,A188B,Non-Fatal,Destroyed,Airplane,1.0,26-01-1983,Reciprocating,Aerial Application,VMC,0.0,1.0,0.0,N9413G,Accident
Piper,PA-28-140,Non-Fatal,Substantial,Airplane,1.0,26-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5989W,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,26-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N9259H,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,26-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N89772,Accident
Bellanca,7GCBC,Non-Fatal,Substantial,Airplane,1.0,26-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N88202,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,27-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N4918H,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,27-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N64951,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,27-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N5745T,Accident
Aeronca,7BCM,Non-Fatal,Substantial,Airplane,1.0,27-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N3174C,Accident
Piper,PA-38-112,Non-Fatal,Substantial,Airplane,1.0,27-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2466B,Accident
Piper,28-151,Fatal(1),Destroyed,Airplane,1.0,28-01-1983,Reciprocating,Unknown,IMC,1.0,0.0,0.0,N32678,Accident
Cessna,340A,Non-Fatal,Substantial,Airplane,2.0,28-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N4604N,Accident
Cessna,172H,Non-Fatal,Substantial,Airplane,1.0,28-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5333T,Accident
Mooney,M20C,Non-Fatal,Substantial,Airplane,1.0,28-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N6594U,Accident
Cessna,A185F,Non-Fatal,Substantial,Airplane,1.0,28-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N6265E,Accident
Piper,PA-32-260,Non-Fatal,Substantial,Airplane,1.0,28-01-1983,Reciprocating,Business,VMC,0.0,0.0,0.0,N3654W,Accident
Cessna,172N,Fatal(1),Destroyed,Airplane,1.0,29-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N1589E,Accident
Cessna,150,Fatal(1),Destroyed,Airplane,1.0,29-01-1983,Reciprocating,Personal,VMC,1.0,0.0,0.0,N1434Q,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,29-01-1983,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N758RD,Accident
Piper,PA-28R-201T,Incident,Minor,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N9674C,Incident
Mooney,M20J,Non-Fatal,Destroyed,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N4510H,Accident
Cessna,TR182,Fatal(1),Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,1.0,0.0,0.0,N5173R,Accident
Aeronca,7AC,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1669E,Accident
Cessna,177B,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N35289,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N54288,Accident
Cessna,140,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N3041N,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5447E,Accident
Cessna,182L,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N42042,Accident
Cessna,172N,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N734YY,Accident
Cessna,172P,Non-Fatal,Substantial,Airplane,1.0,30-01-1983,Reciprocating,Unknown,IMC,0.0,0.0,0.0,N53294,Accident
Piper,PA-22,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Personal,VMC,0.0,0.0,1.0,N6758B,Accident
Cessna,150L,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N17065,Accident
Beech,36,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Business,IMC,0.0,1.0,0.0,N5005M,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Personal,VMC,0.0,0.0,1.0,N5406M,Accident
Piper,PA-28-161,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N21481,Accident
Cessna,180K,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2596K,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N89963,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N6409M,Accident
Piper,PA-22,Non-Fatal,Substantial,Airplane,1.0,31-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3921P,Accident
Beech,99,Non-Fatal,Destroyed,Airplane,2.0,01-02-1983,Turbo Prop,Unknown,IMC,0.0,5.0,2.0,N451C,Accident
Cessna,172,Non-Fatal,Destroyed,Airplane,1.0,01-02-1983,Reciprocating,Unknown,VMC,0.0,1.0,1.0,N5111D,Accident
