make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
Cessna,182B,Fatal(2),Substantial,Airplane,1.0,26-10-2016,Reciprocating,Skydiving,VMC,2.0,1.0,1.0,N7288E,Accident
Bellanca,7GCBC,Non-Fatal,Substantial,Airplane,1.0,19-03-2009,Reciprocating,Personal,VMC,0.0,0.0,1.0,N8684V,Accident
Piper,PA-18,Non-Fatal,Substantial,Airplane,1.0,19-03-2009,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2370H,Accident
Fokker,28-4000,Fatal(27),Destroyed,Airplane,2.0,14-02-2018,Turbo Fan,Unknown,IMC,27.0,9.0,12.0,N485US,Accident
Piper,PA-32,Non-Fatal,Substantial,Airplane,1.0,19-03-2009,Reciprocating,Unknown,VMC,0.0,0.0,0.0,N43527,Accident
Mcdonnell Douglas,MD-88,Fatal(2),Substantial,Airplane,2.0,06-06-2019,Turbo Jet,Unknown,VMC,2.0,2.0,3.0,N927DA,Accident
Piper,PA-28-181,Fatal(1),Substantial,Airplane,1.0,14-01-2009,Reciprocating,Personal,VMC,1.0,0.0,0.0,N8253W,Accident
Cessna,182H,Fatal(1),Destroyed,Airplane,1.0,10-12-2014,Reciprocating,Skydiving,VMC,1.0,2.0,2.0,N8548S,Accident
Beech,A36TC,Fatal(1),Substantial,Airplane,1.0,01-07-2009,Turbo Prop,Personal,VMC,1.0,1.0,1.0,N279WP,Accident
Cessna,P206,Fatal(1),Substantial,Airplane,1.0,10-12-2014,Reciprocating,Skydiving,VMC,1.0,4.0,1.0,N2588X,Accident
Aircraft Mfg & Dev. Co. (amd),CH601XL SLSA,Fatal(2),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N158MD,Accident
Mooney,M20R,Fatal(1),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,IMC,1.0,0.0,0.0,N9165T,Accident
Partenavia,P 68C,Fatal(2),Substantial,Airplane,2.0,28-12-2008,Reciprocating,Personal,IMC,2.0,0.0,0.0,N90KB,Accident
Piper,PA-28-235,Fatal(3),Destroyed,Airplane,1.0,29-01-2009,Reciprocating,Personal,VMC,3.0,0.0,0.0,N9381W,Accident
Cessna,U206G,Fatal(2),Substantial,Airplane,1.0,23-03-2009,Reciprocating,Personal,IMC,2.0,0.0,0.0,N2874B,Accident
Cessna,182Q,Fatal(3),Substantial,Airplane,1.0,25-02-2009,Reciprocating,Personal,VMC,3.0,0.0,0.0,N422G,Accident
Piper Aircraft,PA-38-112,Fatal(1),Substantial,Airplane,1.0,12-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N9247T,Accident
Cessna,S550,Fatal(2),Destroyed,Airplane,2.0,25-11-2008,Turbo Jet,Personal,VMC,2.0,0.0,0.0,N22HP,Accident
Cessna,172E,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,1.0,N3982S,Accident
Raytheon Aircraft Company,A36,Non-Fatal,Substantial,Airplane,1.0,25-11-2008,Reciprocating,Business,VMC,0.0,2.0,2.0,N729P,Accident
Dassault-breguet,Mystere Falcon 900,Non-Fatal,Substantial,Airplane,3.0,10-11-2008,Turbo Fan,Executive/corporate,VMC,0.0,0.0,0.0,N914DD,Accident
Mooney,M20F,Fatal(2),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,2.0,0.0,N9180V,Accident
Piper,PA-31-350,Incident,Minor,Airplane,2.0,11-02-2009,Reciprocating,Positioning,VMC,0.0,0.0,0.0,N105GC,Incident
Piper,PA-28-140,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,1.0,0.0,N7389J,Accident
Stout Gordon,Glasair III,Non-Fatal,Substantial,Airplane,1.0,23-03-2009,Reciprocating,Personal,VMC,0.0,0.0,2.0,N340,Accident
Falcon Safety Craft Inc,Falcon XP,Non-Fatal,Substantial,Airplane,1.0,25-11-2008,Reciprocating,Personal,VMC,0.0,1.0,0.0,N223FS,Accident
Piper,PA-32R-301T,Incident,Minor,Airplane,1.0,14-01-2009,Reciprocating,Business,VMC,0.0,0.0,0.0,N3120T,Incident
Niva,Thorp T-18,Fatal(2),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N6GN,Accident
Beech,C24R,Non-Fatal,Substantial,Airplane,1.0,25-11-2008,Reciprocating,Personal,VMC,0.0,2.0,2.0,N1802N,Accident
Socata,TB-20 Trinidad,Fatal(2),Substantial,Airplane,1.0,25-11-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N96DF,Accident
Piper,PA-32-260,Fatal(1),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,IMC,1.0,0.0,0.0,N5067T,Accident
Cessna,P206,Fatal(1),Substantial,Airplane,1.0,05-03-2009,Reciprocating,Personal,VMC,1.0,0.0,0.0,N904DZ,Accident
Piper,PA-28-181,Non-Fatal,Substantial,Airplane,1.0,25-02-2009,Reciprocating,Personal,VMC,0.0,0.0,0.0,N3077Q,Accident
Beech,A36,Fatal(5),Destroyed,Airplane,1.0,25-11-2008,Reciprocating,Personal,VMC,5.0,0.0,0.0,N326DK,Accident
Piper,PA-28-181,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,0.0,N465MA,Accident
Cessna,150J,Fatal(1),Destroyed,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N60867,Accident
Yakovlev,Yak 52,Fatal(2),Substantial,Airplane,1.0,03-12-2008,Reciprocating,Personal,VMC,2.0,0.0,0.0,N212YA,Accident
Piper,PA-28-140,Fatal(3),Destroyed,Airplane,1.0,05-12-2008,Reciprocating,Personal,VMC,3.0,0.0,0.0,N6493W,Accident
Grumman American,AA-5,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N119G,Accident
Skykits,Savannah ADV,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,0.0,0.0,N769R,Accident
Root,Sherpa,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,1.0,1.0,N1415B,Accident
Temco,GC-1B,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N2455B,Accident
North American,Navion,Fatal(1),Destroyed,Airplane,1.0,03-12-2008,Reciprocating,Personal,IMC,1.0,0.0,0.0,N8844H,Accident
Grumman,AA-5A,Fatal(1),Substantial,Airplane,1.0,28-12-2008,Reciprocating,Personal,VMC,1.0,0.0,0.0,N26442,Accident
Cessna,180,Fatal(1),Substantial,Airplane,1.0,25-11-2008,Reciprocating,Personal,VMC,1.0,1.0,0.0,N46209,Accident
Beech,F33A,Non-Fatal,Substantial,Airplane,1.0,03-12-2008,Reciprocating,Personal,VMC,0.0,0.0,2.0,N52359,Accident
Indus,T211 Thorpedo,Non-Fatal,Substantial,Airplane,1.0,24-12-2008,Reciprocating,Personal,VMC,0.0,1.0,1.0,N211LS,Accident
